_,ST,StateFIPS,Population,Deaths,U_C_Rate,_
,,,,,,
"2008-2014, United States",,,,,,
"Death Rates per 100,000 Population",,,,,,
"All Injury, Suicide, All Races, All Ethnicities, Both Sexes, All Ages",,,,,,
Annualized Crude Rate for United States: 12.63,,,,,,
,,,,,,
,,,,,,
Reports for All Ages include those of unknown age.,,,,,,
* Rates based on 20 or fewer deaths may be unstable.  States with these rates are cross-hatched in the map (see legend above). Such rates have an asterisk.,,,,,,
,,,,,,
m9437258 created 13OCT21:17:22     downloaded 13OCT21:17:31,,,,,,
,,,,,,
"Types of Rates:    U_C_Rate = Unsmoothed, Crude Rate.",,,,,,
,,,,,,
,,,,,,
"Produced by: the Statistics, Programming & Economics Branch, National Center for Injury Prevention & Control, CDC",,,,,,
Data Sources: NCHS National Vital Statistics System for numbers of deaths; US Census Bureau for population estimates.,,,,,,
,,,,,,
,,,,,,
,,,,,,
,ST,StateFIPS,Population,Deaths,U_C_Rate,
,AL,1,33558432,4770,14.21401334,
,AK,2,5024225,1125,22.39151312,
,AZ,4,45411117,7848,17.28211178,
,AR,5,20500179,3294,16.06815238,
,CA,6,263818096,27639,10.47653683,
,CO,8,35830443,6664,18.59870948,
,CT,9,25062400,2431,9.699789326,
,DE,10,6359102,800,12.58039264,
,DC,11,4337658,277,6.38593453,
,FL,12,133938024,20232,15.10549387,
,GA,13,68637645,8079,11.77050873,
,HI,15,9638796,1261,13.08254682,
,ID,16,11083018,2052,18.51481248,
,IL,17,89878068,8790,9.779916498,
,IN,18,45589693,6214,13.63027384,
,IA,19,21436265,2772,12.93135721,
,KS,20,20049651,2896,14.4441417,
,KY,21,30512862,4662,15.27880276,
,LA,22,31920282,3981,12.47169433,
,ME,23,9303773,1473,15.83228654,
,MD,24,40839701,3876,9.490764881,
,MA,25,46256590,3994,8.634445384,
,MI,26,69300707,8743,12.61603291,
,MN,27,37440030,4489,11.98984082,
,MS,28,20824763,2745,13.18142252,
,MO,29,42018262,6319,15.03869913,
,MT,30,6991079,1608,23.00074137,
,NE,31,12883593,1450,11.25462439,
,NV,32,19143270,3734,19.50554947,
,NH,33,9237313,1373,14.86362972,
,NJ,34,61826877,4806,7.77331839,
,NM,35,14442111,2950,20.42637673,
,NY,36,136468396,11126,8.152803379,
,NC,37,67487062,8644,12.80838096,
,ND,38,4845414,758,15.64365811,
,OH,39,80842617,10051,12.4327989,
,OK,40,26472654,4524,17.08933302,
,OR,41,27073057,4761,17.58574955,
,PA,42,89064065,11745,13.1871367,
,RI,44,7374400,808,10.95682361,
,SC,45,32744318,4601,14.05129281,
,SD,46,5777731,950,16.44244081,
,TN,47,44799722,6774,15.12062954,
,TX,48,179470855,20498,11.42135307,
,UT,49,19666542,3502,17.80689254,
,VT,50,4380714,730,16.66395021,
,VA,51,56660701,7185,12.68074675,
,WA,53,47707906,6972,14.61393003,
,WV,54,12956295,2107,16.26236513,
,WI,55,39931436,5347,13.39045257,
,WY,56,3981420,918,23.05710023,
